cp,artist,song,section,spotify_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"1,5,6,4",3 doors down,be like that,intro,3PbHle8KhJp6GuO1jLdEmQ,0.487,0.702,7,-6.043,1,0.0238,0.00536,4.93e-06,0.129,0.306,95.973,265907,4
"1,5,6,4",3 doors down,be like that,verse,3PbHle8KhJp6GuO1jLdEmQ,0.487,0.702,7,-6.043,1,0.0238,0.00536,4.93e-06,0.129,0.306,95.973,265907,4
"1,5,6,4",adele,someone like you,chorus,4kflIGfjdZJW4ot2ioixTB,0.559,0.33,9,-8.251,1,0.0285,0.892,0.0,0.0975,0.285,135.109,285040,4
"1,5,6,4",avril lavigne,girlfriend,chorus,5HbCnVLXRyZVxnreOPgJCK,0.56,0.959,7,-2.433,1,0.102,0.000738,0.000206,0.209,0.67,163.983,216600,4
"1,5,6,4",bon jovi,living on a prayer,chorus,,,,,,,,,,,,,,
"1,5,6,4",bruno mars,grenade,chorus,2tJulUYLDKOg9XrtVkMgcJ,0.706,0.558,2,-7.237,0,0.0593,0.146,0.0,0.118,0.227,110.443,223253,4
"1,5,6,4",carly rae jepsen,call me maybe,chorus,3TGRqZ0a2l1LRblBkJoaDx,0.778,0.585,7,-6.502,1,0.0435,0.0123,0.0,0.108,0.626,120.069,193400,4
"1,5,6,4",carrie underwood,so small,chorus,6xfL1KzGxg48ACVlQE9qXr,0.426,0.784,3,-3.225,1,0.0421,0.306,0.0,0.0695,0.272,147.939,225213,3
"1,5,6,4",carrie underwood,so small,verse,6xfL1KzGxg48ACVlQE9qXr,0.426,0.784,3,-3.225,1,0.0421,0.306,0.0,0.0695,0.272,147.939,225213,3
"1,5,6,4",cascada,every time we touch,verse,,,,,,,,,,,,,,
"1,5,6,4",cheryl cole,parachute,verse,7jtawIveUcUDkYDTQ0T3I9,0.8,0.714,0,-6.833,1,0.0457,0.00861,0.000251,0.13,0.832,116.027,219800,4
"1,5,6,4",christina perri,jar of hearts,chorus,0HZhYMZOcUzZKSFwPOti6m,0.349,0.348,3,-6.142,1,0.0316,0.726,0.0,0.12,0.0886,74.541,246587,4
"1,5,6,4",erasure,always,pre-chorus,05aJGOuSDQTFyfzcGQrDUO,0.569,0.86,5,-5.827,1,0.028,0.21,3.1e-06,0.241,0.181,103.018,241413,4
"1,5,6,4",evanescence,bring me to life,chorus,0COqiPhxzoWICwFCS4eZcp,0.316,0.945,4,-3.169,0,0.124,0.00895,1.85e-06,0.396,0.32,189.931,235893,4
"1,5,6,4",flo rida,whistle,instrumental,3bC1ahPIYt1btJzSSEyyrF,0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.739,103.976,224653,4
"1,5,6,4",jason mraz,i'm yours,chorus,5smPViFYtztTo7ww9gJXpD,0.549,0.107,0,-16.147,1,0.0844,0.957,0.0,0.111,0.307,74.63,219053,4
"1,5,6,4",jason mraz,i'm yours,verse,5smPViFYtztTo7ww9gJXpD,0.549,0.107,0,-16.147,1,0.0844,0.957,0.0,0.111,0.307,74.63,219053,4
"1,5,6,4",kelly clarkson,already gone,verse,7ceIquYtiTYlgSSm7PqUf9,0.209,0.872,9,-2.996,1,0.0757,0.217,0.0,0.0768,0.294,78.139,281560,4
"1,5,6,4",lady gaga,the edge of glory,chorus,0JNdS1n0ifOP25XvhwAMgM,0.581,0.772,9,-6.544,1,0.0401,0.000343,0.0191,0.11,0.361,127.952,320587,4
"1,5,6,4",maroon 5,she will be loved,chorus,4llK75pXNWZz6KAho2Gp16,0.641,0.667,0,-5.505,0,0.0254,0.249,0.0,0.0987,0.51,102.002,259453,4
"1,5,6,4",matchbox 20,real world,verse,70fe354BpVKEvMY0de78YO,0.504,0.761,10,-5.446,1,0.0437,0.00628,0.0,0.0892,0.884,117.999,231693,4
"1,5,6,4",mumford and sons,the cave,chorus,3pLTOP0G0etiWUknFoRpsr,0.576,0.486,4,-9.364,1,0.0406,0.0606,0.000143,0.093,0.337,141.951,217987,4
"1,5,6,4",nofx,please play this song on the radio,chorus,4zvfgpO3ZUsBXKg2Ikw6D9,0.573,0.936,7,-7.396,1,0.09,0.00886,0.0,0.38,0.482,113.433,136667,4
"1,5,6,4",of monsters and men,little talks,chorus,2ihCaVdNZmnHZWt0fvAM7B,0.446,0.757,1,-5.177,1,0.0322,0.0206,0.0,0.146,0.421,102.88,266600,4
