cp,artist,song,section,spotify_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cp_length,genres
"1,5,6",aerosmith,cryin',verse,0NJC0FDCODpPUntRTTQq97,0.445,0.856,9.0,-3.674,1.0,0.0327,0.000202,0.0101,0.36700000000000005,0.486,105.87200000000001,308333.0,3.0,3,"['album rock', 'classic rock', 'hard rock', 'rock']"
"1,5,6",jack johnson,flake,chorus,09dOpua4kGcHzH9Jt6KTzm,0.754,0.657,5.0,-10.8,1.0,0.04,0.682,0.0417,0.172,0.9640000000000001,97.691,283400.0,4.0,3,['neo mellow']
"1,5,6",katy perry,firework,chorus,4lCv7b86sLynZbXhfScfm2,0.638,0.826,8.0,-4.968,1.0,0.0479,0.139,0.0,0.0803,0.649,124.072,227880.0,4.0,3,"['dance pop', 'pop', 'post-teen pop']"
"1,5,6",the beatles,i want to hold your hand,verse,4pbG9SUmWIvsROVLF0zF9s,0.49,0.715,7.0,-5.5489999999999995,1.0,0.0476,0.386,0.0,0.311,0.866,130.726,145747.0,4.0,3,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']"
"1,5,6",the beatles,let it be,verse,7iN1s7xHE4ifF5povM6A48,0.44299999999999995,0.40299999999999997,0.0,-8.339,1.0,0.0322,0.631,0.0,0.111,0.41,143.46200000000002,243027.0,4.0,3,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']"
"1,5,6",vitamin c,friends forever,chorus,45V4Mk7vZV2b9JfSWuUX9m,0.583,0.637,0.0,-6.4639999999999995,1.0,0.0459,0.00722,0.0419,0.177,0.315,80.00399999999999,340613.0,4.0,3,"['dance pop', 'europop']"
"1,5,6",the cars,just what i needed,verse,4alHo6RGd0D3OUbTPExTHN,0.619,0.579,4.0,-9.307,1.0,0.0473,0.0152,6.4e-05,0.0858,0.69,127.22399999999999,225627.0,4.0,3,"['album rock', 'art rock', 'classic rock', 'dance rock', 'folk rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'power pop', 'rock', 'soft rock']"
"1,5,6",air,venus,instrumental,14EMkYvQQ3E7gI8MFc9bFd,0.478,0.42100000000000004,5.0,-9.521,0.0,0.0266,0.8590000000000001,0.91,0.149,0.0599,79.002,244560.0,4.0,3,"['alternative dance', 'downtempo', 'electronic', 'new rave', 'trip hop']"
"1,5,6",of monsters and men,king and lionheart,chorus,310d8Vawp5kYDYrGrrTAzl,0.52,0.655,3.0,-6.516,1.0,0.0393,0.10400000000000001,0.0034700000000000004,0.124,0.289,126.59299999999999,273853.0,4.0,3,"['folk-pop', 'indie folk', 'indie pop', 'metropopolis', 'modern alternative rock', 'modern rock', 'pop', 'stomp and holler']"
"1,5,6",bonnie tyler,total eclipse of the heart,chorus,5prTs2HAw2G4idHZyeFp8o,0.435,0.6579999999999999,8.0,-8.179,1.0,0.0661,0.195,0.0,0.102,0.184,130.276,269787.0,4.0,3,"['europop', 'new wave pop', 'soft rock']"
"1,5,6",lenka,trouble is a friend,chorus,0MAWbNUV19O14FZJYWg89o,0.657,0.83,8.0,-5.1739999999999995,1.0,0.0248,0.0318,3.91e-05,0.122,0.653,118.02600000000001,215747.0,4.0,3,"['acoustic pop', 'folk-pop', 'lilith']"
"1,5,6",iron and wine,upward over the mountain,verse,3SJzHTQOaMY0SxoEKLW2Z5,0.612,0.276,7.0,-11.932,1.0,0.0358,0.898,0.8640000000000001,0.0867,0.20600000000000002,98.61,356160.0,4.0,3,"['acoustic pop', 'chamber pop', 'folk-pop', 'indie folk', 'indie pop', 'modern rock', 'neo mellow', 'new americana', 'stomp and holler']"
"1,5,6",lindsey stirling,shadows,pre-chorus and chorus,2eXgQpGOmatI7KQM1RPuZb,0.623,0.826,0.0,-7.398,1.0,0.0941,0.00536,0.0434,0.09699999999999999,0.32,125.978,223458.0,4.0,3,['bow pop']
"1,5,6",pyotr ilyich tchaikovsky,russian dance 'trepak',verse,6kHWawEbq5Vcyp8nSHhGjs,0.45899999999999996,0.499,7.0,-16.055,1.0,0.0442,0.9079999999999999,0.775,0.106,0.872,78.528,69120.0,4.0,3,"['classical', 'late romantic era', 'russian romanticism']"
"1,5,6",katy perry,firework,pre-chorus,4lCv7b86sLynZbXhfScfm2,0.638,0.826,8.0,-4.968,1.0,0.0479,0.139,0.0,0.0803,0.649,124.072,227880.0,4.0,3,"['dance pop', 'pop', 'post-teen pop']"
"1,5,6",the gaslight anthem,45,intro,25Sd73fleKUVPNqITPZkn1,0.315,0.97,8.0,-4.709,1.0,0.102,0.000696,0.0,0.27699999999999997,0.423,178.06799999999998,202493.0,4.0,3,"['heartland rock', 'new jersey indie', 'skate punk']"
"1,5,6",flo rida,who dat girl,intro,7z73ehYAn9O1XP9XlCqVtd,0.7190000000000001,0.616,1.0,-3.951,1.0,0.0395,0.00683,3.11e-05,0.0742,0.625,124.963,200880.0,4.0,3,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']"
"1,5,6",flo rida,who dat girl,chorus,7z73ehYAn9O1XP9XlCqVtd,0.7190000000000001,0.616,1.0,-3.951,1.0,0.0395,0.00683,3.11e-05,0.0742,0.625,124.963,200880.0,4.0,3,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']"
"1,5,6",one direction,heart attack ,chorus,5zsYl9Nl4kQmPSjwscVASJ,0.43,0.831,9.0,-4.781000000000001,1.0,0.0692,0.0136,0.0,0.109,0.616,99.016,176067.0,4.0,3,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']"
"1,5,6",sega,azure blue world,intro,2QxiBzCddv0hNXphxZAGeE,0.436,0.875,0.0,-5.494,1.0,0.0318,1.52e-06,0.209,0.069,0.654,142.101,185000.0,4.0,3,[]
"1,5,6",darude,sandstorm,chorus,24CXuh2WNpgeSYUOvz14jk,0.539,0.98,11.0,-8.18,0.0,0.0469,0.16899999999999998,0.982,0.084,0.522,136.08700000000002,225373.0,4.0,3,"['eurodance', 'europop', 'finnish edm']"
"1,5,6",wolfgang amadeus mozart,der holle rache kocht in meinem herzen,chorus,3apjDg8RP6wLBSSuEcgreX,0.501,0.109,5.0,-17.994,1.0,0.115,0.968,0.0137,0.125,0.307,142.993,174120.0,4.0,3,"['classical', 'classical era']"
"1,5,6",jason becker,altitudes,solo 2,0AaRMLPJQYTSzSBDOjoaDL,0.198,0.687,11.0,-13.29,0.0,0.0467,0.0349,0.893,0.154,0.299,113.241,339573.0,4.0,3,"['instrumental rock', 'neo classical metal', 'progressive metal']"
"1,5,6",the gaslight anthem,the '59 sound,pre-chorus and chorus,6sAbdRWPf9lsSDbXVgmdwG,0.423,0.943,10.0,-3.93,1.0,0.113,0.0010199999999999999,5.81e-06,0.272,0.429,167.985,189987.0,4.0,3,"['heartland rock', 'new jersey indie', 'skate punk']"
"1,5,6",fastball,out of my head,chorus,5tOjRq5shlEdm15nmJBq7Z,0.599,0.6659999999999999,4.0,-7.461,1.0,0.0324,0.366,0.00158,0.16899999999999998,0.48200000000000004,156.20600000000002,153067.0,4.0,3,"['pop rock', 'post-grunge']"
"1,5,6",the all-american rejects,night drive,chorus,5nB0zhMAdBf6vY9RxibRjI,0.611,0.945,2.0,-3.91,1.0,0.06,0.006679999999999999,2.74e-06,0.0382,0.7879999999999999,147.856,203880.0,4.0,3,"['modern rock', 'neo mellow', 'pop punk', 'pop rock', 'post-grunge']"
"1,5,6",thrice,doublespeak,chorus,4oE6WttjRSXWViKaiNcz37,0.62,0.755,5.0,-5.682,0.0,0.03,0.00564,0.282,0.124,0.501,123.85799999999999,290760.0,4.0,3,"['emo', 'modern rock', 'pop punk', 'post-hardcore', 'screamo']"
"1,5,6",saves the day,deranged and desperate,chorus,0AJhJ7PMhVXRZA9oxLs66y,0.535,0.898,11.0,-4.6930000000000005,1.0,0.0478,0.0109,4.21e-06,0.32,0.528,125.949,145720.0,4.0,3,"['alternative emo', 'dreamo', 'emo', 'indie rock', 'melodic hardcore', 'modern rock', 'pop punk', 'pop rock', 'post-hardcore']"
"1,5,6",shiny toy guns,you are the one,chorus,4AIYKuKYHRsBKWuvpmBt51,0.40700000000000003,0.851,9.0,-2.997,0.0,0.0383,0.00011599999999999999,0.0,0.41100000000000003,0.23800000000000002,141.97899999999998,270893.0,4.0,3,"['alternative dance', 'dance-punk', 'electropop', 'indietronica']"
"1,5,4",alice in chains,nutshell,verse,2JuasWPUodaUxf5nwNpciQ,0.384,0.562,3.0,-10.059,0.0,0.0296,0.37,0.267,0.0775,0.159,136.094,259200.0,3.0,3,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'post-grunge', 'rock']"
"1,5,4",david bowie,ziggy stardust,intro,5IyL3XOaRPpTgxVjRIAxXU,0.44,0.565,7.0,-11.657,1.0,0.121,0.048,0.0,0.213,0.495,161.124,194440.0,4.0,3,"['art rock', 'dance rock', 'glam rock', 'new wave', 'permanent wave', 'protopunk', 'rock']"
"1,5,4",elton john,tiny dancer,verse,2TVxnKdb3tqe1nhQWwwZCO,0.414,0.428,0.0,-11.097000000000001,1.0,0.0278,0.382,0.00024300000000000002,0.14800000000000002,0.282,145.075,377093.0,4.0,3,"['glam rock', 'mellow gold', 'piano rock', 'rock', 'soft rock']"
"1,5,4",madonna,like a prayer,chorus,1z3ugFmUKoCzGsI6jdY4Ci,0.624,0.8420000000000001,5.0,-5.285,1.0,0.0376,0.264,2.11e-05,0.18100000000000002,0.257,111.037,342680.0,4.0,3,"['dance pop', 'pop', 'pop rock']"
"1,5,4",red hot chili peppers,californication,verse,48UPSzbZjgc449aqz8bxox,0.5920000000000001,0.767,9.0,-2.7880000000000003,0.0,0.027000000000000003,0.0021,0.00165,0.127,0.32799999999999996,96.48299999999999,329733.0,4.0,3,"['alternative rock', 'funk metal', 'permanent wave', 'post-grunge', 'rock']"
"1,5,4",the beatles,let it be,verse,7iN1s7xHE4ifF5povM6A48,0.44299999999999995,0.40299999999999997,0.0,-8.339,1.0,0.0322,0.631,0.0,0.111,0.41,143.46200000000002,243027.0,4.0,3,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']"
"1,5,4",the shins,caring is creepy,intro and verse,2AZmlhK1ssultfpYk3EIEH,0.413,0.7070000000000001,2.0,-8.65,1.0,0.0375,0.0232,2.84e-06,0.293,0.494,94.61399999999999,200173.0,4.0,3,"['albuquerque indie', 'alternative rock', 'chamber pop', 'folk-pop', 'garage rock', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'pop rock', 'portland indie', 'rock', 'stomp and holler']"
"1,5,4",ehrencrona,this is so good,verse,2QmX9vDXyTQpjWcLyplekc,0.536,0.943,2.0,-5.269,1.0,0.0397,0.000127,0.374,0.022000000000000002,0.153,128.007,373135.0,4.0,3,"['big room', 'progressive electro house']"
